	id	conclusion	premises	stance	rank
0	Sd98175c5-Afa1e1d7b	THW become Vegetarians	In our society, we now have vegetarians. Humanity sees every good side in vegetarians. However, not everything good is good. I believe that becoming vegetarian has much more harms rather than benefits. THW become vegetarian Definitions: This house- America Become- begin to be in the next 3 years Vegetarian- a person who does not eat meat, and other animal products. Rules apply: 1. Forfeiting results in a loss of conduct or possibly the debate 2. Sources should be within the character limits 3. No round structures apply. However, no new arguments in the final round 4. Maintain a civil and decorous atmosphere (No trolling, swear words, conceding on purpose, etc.) 5. My opponent accepts all of the following definitions and waives his/her right to challenge these definitions 6.BoP is shared Round 1 -Acceptance and/or questions regarding the resolution. (NO ARGUMENTS PRESENTED) Any questions, please ask in the comments.	CON	1
1	S272dfd04-Adbbf838	Everyone should become a vegetarian	I don't think everyone should HAVE to become one; everyone should have say in what they eat or not. 5 Reasons Why They Shouldn't: 1. Humans have been eating meat for millions of years and it is an essential part of our evolution. 2. Vegetarian diets can cause the death of animals (such as birds, mice, and rabbits) that live in agricultural crop fields are killed during harvest. 3. Meat is the most convenient source of protein. 4. Research has shown that many plants feel fear. 5. A meat-centred diet can help with weight loss. It takes fewer calories to get protein from lean meat than it does from vegetarian options.	CON	2
2	Sd98175c5-A272c6538	THW become Vegetarians	"Thank you for the acceptance, I look forward to a nice and clean debate. Moving on, I would first off like to remind my opponents that they would have to prove the benefits of why becoming vegetarian is moreover a benefit than a harm for I am doing the exact opposite. C1) Violation of one's rights It's pretty straight forward. Forcing others to eat something takes away a person's freedom to eat what they want to eat. Let us look at our status quo. In our modern day society we have people who are vegetarian, people who eat all sorts of food, lactose intolerant, and many more ""styles"" of what and how people eat. If we supposedly do make everyone eat meat in America, what is taken away from the people? Freedom. When we are practically forcing our citizens to eat something that they are 1) Not use to or 2) Doesn't want to eat we are violating and taking away the citizens right for something that is vital to our life. Our world gives us limited freedom and rights I agree, but we are now taking away a freedom and choice for food. This of course violates ones limited freedom. This is not right for our society to decide what we eat now. C2)Feasibility Pretty straight forward. Making people vegetarians are not feasible enough in our country. Because my opponents are proving that we should enforce America into becoming vegetarians, how would they do it? What if they do eat meat? Would they go to jail or get arrested? What would happen? C3)Health Issues Vegetarian: 1. A person who does not eat or does not believe in eating MEAT, or, in some cases, any food derived from animals, as eggs or cheese, but subsists on vegetables, fruits, nuts, grain, etc.[1] The definition of Vegetarians includes that they do not eat meat. Becoming vegetarian certainly means that there will be much less protein intake. Having protein is a must in your regular food chain. Protein is makes up the building blocks of our body and essentially all we do when we eat meat is to recycle the flesh and to use it to reconstruct our own. Vegetarians may tell me that you still can get protein from beans and eggs. But here is the real problem here. We as humans can't live off of just beans, eggs, cheese etc. Vegetables and plants do not have same amino acid profile as meat does to us and simply isn't bio-available enough to be able to use efficiently. Lack of protein in our diet brings out many harms. We are slower to heal wounds and scars on us. Our skin will become unhealthy. We would struggle to develop muscle tissues easier and become weaker and our digestion function suffers. [2] Aside from protein, there is on big harm on discarding meat in our food chain and that is Vitamin B12. You can only get this source of vitamin from meat, unless you count earth's ground and dirt as ""food"". B12 is a very crucial substance and lack of meat can cause serious problems such as nerve damage, low energy and problems utilizing calcium which can lead to osteoporosis and arteriosclerosis in the future for people. [3] [4] Conclusion: Today if we put on a scale, my side sees much more weight on the harms. Even if my opponents explain on how becoming vegetarian is very healthy, we have still proved that meat is crucial. As well as it can be a problem to obesity, we see a much bigger health issues from a society without meat. As well as it harms the people, it harms our freedom of one thing that we should have full access too. With our status quo we see no major health problems being just the way we are, vegetarian or not. There would be no need to change what we already is succeeding in for our future. [1] http://dictionary.reference.com... [2] http://www.healthguidance.org... [3] http://www.mnn.com... [4] http://www.ncbi.nlm.nih.gov..."	CON	3
3	Sd98175c5-Aef457489	THW become Vegetarians	"Unless my opponents has even read my comment at the bottom, I have given a reason to post my rebuttals in this round. For there are no round structures, this will go as followed and I have not dropped any arguments. C5)You""ll ease the symptoms of menopause. I see in this scenario a benefit from eating food off of the vegetarian diet. However this shows that you don't need to be vegetarian in order to ease menopause. People can still eat food from the vegetarian diet to help them ease it. If we look at this argument in the beginning, it also talks about how ""many foods contain nutrients beneficial to perimenopausal and menopausal women."" Note that this does not include men. In this resolution, we talk about America as a whole. However, this argument only applies to woman in general, and we see no benefit to men and kids from this argument. This does not apply to everyone in America. This argument should not be considered in this debate, as my definition specifically states ""America"". C6)You""ll have more energy This is completely false. They state that ""Too much fat in your bloodstream means that arteries won""""t open properly and that your muscles won""t get enough oxygen."" Let me ask: Would there be any muscle without protein? No. Sure you can still get them from beans because they are healthier, but we as humans can't live off of just beans, eggs, cheese etc. Vegetables and plants do not have same amino acid profile as meat does to us and simply isn't bio-available enough to be able to use efficiently. Lack of protein in our diet brings out many harms. We are slower to heal wounds and scars on us. Our skin will become unhealthy. We would struggle to develop muscle tissues easier and become weaker and our digestion function suffers. Beans may be healthier short term. However we see the longterm issue as a harm to our future generation. Aside from protein, there is on big harm on discarding meat in our food chain and that is Vitamin B12. B12 is a very crucial substance and lack of meat can cause serious problems such as nerve damage, low energy, etc. Note that you can only get B12 from meat, asides from dirt. My opponents talk about fat in your blood stream. What is the impact? Does it kill? They have not shown us any significant impacts, as we showed you that without meat, we have much bigger problems in the long term stances. [1] C7 and C11) You""ll help reduce pollution and save the planet Giving up meat will not help the solution: in fact it will make it worse. Production methods for meat substitutes can be energy intensive and the final products tend to be highly processed. Note that it is important to remember that livestock produce large amounts of methane, a much more potent greenhouse gas than carbon dioxide.[2] From this, climate changes can worsen as well as the greenhouse gases that will increase pollution. Therefore, being vegetarian will not help reduce pollution or saving the planet, rather making it worse C8) You""ll help reduce famine Reading this over, I see no connection towards the fact that vegetarians actually help these causes. Extreme poverty and world hunger are multi-faceted global problems that are caused by government corruption, a lack of proper food distribution, and other reasons that don""t include eating a meaty diet. C9)You""ll spare animals Let us look at what Pro is suggesting: he/she is saying how we are killing animals and we are killing too much. What if we stopped killing animals? Pro thinks that it is terrific to stop it. However, consider this: if we stopped killing animals, how many animals would we have on earth? Thats right: I'm talking about overpopulation of animals. Note that animal consumption are not from extinct animals: they are animals who are plenty on earth. But that is not the point: In this argument we weight out human harms and animal harms. Are we equal with animals? Not even close. The ability of a human to breathe underwater is not equal to that of a fish. In both situations, I see that on one side we are killing animals. On the other, we see the longterm harms to humans. Thing is, animals rights are not the same as peoples rights and if we do stop killing animals and start to become vegetarian, the results to humans might but much more significant. Once we stop killing animals, we may start facing long term problems of people who suffer from many contortions due to lack of protein, vitamin B12, etc. C10) You'll save money I believe that becoming vegetarian has no money benefits. Even if we are still omnivores, we can still save money by not buying meat, and buying meat on and off. There are many ways to save money from food standards but I do not see that this is the reason why everyone becoming vegetarians are a necessity. Reconstructions: 1. ""It is a right of choice, but we aren't saying that you HAVE to be a vegetarian, we are just saying that we prefer being a vegetarian. Alsowhy shoiuld you bother someone who is just eating vegetables? It is not against the law either, so you can just leave hem alone and let the citizens have the right to choose what they cane eat."" I am very confused here. They suddenly say that you don't have to be vegetarian, but they prefer being vegetarian. What is the point of this debate then? You are arguing why we need to have This House (America) to be vegetarian as it says on the resolution? They have basically agreed to us that the citizens have the right to choose what they can eat. That is exactly what we are saying in this argument! Their side basically notions that making America become vegetarian means they are forcing their citizens. 2.As I said, if they eat they meat, it is their choice because they wouldn't get in jail. it is their choice and they can follow it or reject. As I said in my first rebuttal, we just prefer, it and it is their right to want to eat meat or just be a vegetarian. Yes, exactly. It is their right. That is why I am on con. In my argument, I am just saying that it is very hard to ensue such a law, and therefore should not be put into change of our status quo. 3. Yes, this is true, but then when we eat beans, it is healthier for us. Meat contains a lot of fat and bad chemicals for you. Beans may be healthier, but in what stance? As I explained in my argument, beans (which is referred as plants because they grow from plants) do not have the same vegetables and PLANTS do not have same amino acid profile as meat does to us and simply isn't bio-available enough to be able to use efficiently. Thus, beans are ineffective to protein and that we must need meat in order to survive. Without the enough amino acid profile, we are looking towards struggles to develop muscle tissues easier and become weaker and our digestion function suffering. Our skin goes unhealthy. We are slower to heal wounds and scars on us. On a scale, without becoming vegetarian we have much more benefits, as becoming one has more harms. Either way, they have not refuted our Vitamin B12 argument, assuming they have no sayings on this. Lets use some impact calculus: Severity. Side Pro is looking at the fact that it is damaging our environment, health and people. However, these are not as severe as we think that are. Side con wins for this because our impacts are severe, as it hurts the peoples health's especially. Probability: It is not likely to enforce rules to make America vegetarian. It is simply not likely to ensue that everyone does not eat meat Timeframe: They only talk about short term impacts but our impacts last longterm. They have not reconstructed their case, nor refuted properly, whereas I have reconstructed, refuted and kept on defending my side properly. In a way, it seems like they have conceded. Good debate with side pro Vote Con! 1) http://www.mnn.com... 2) http://www.dailymail.co.uk..."	CON	4
4	S7e9ebc8d-A304267ea	People should become vegan as a result of possible future advances in artificial intelligence.	C1) Super AI- Many experts in artificial intelligence predict that by the end of the 21st century mankind will have developed a super artificial intelligence. What happens after that is an intelligence explosion known as the singularity. Experts predict that this singularity could occur within the next 20-100 years. The average seems to be about the year 2050. Ray Kurzweil a leading expert in transhumanism says it will occur in 2045. http://www.singularity.com... It's generally agreed that the singularity will most likely occur through the development of a super artificial intelligence that far surpasses the knowledge and thinking of humans. Problems with a Super AI- It actually turns out to be pretty hard to program morality into an AI, and you can imagine the difficulty in doing that once a machine is capable of growing smarter by reprogramming it's self without the aid of humans. A computer with a super AI could potentially see us as energy and consume us so they can grow more powerful and stronger. http://www.smithsonianmag.com... Bottom of the food chain- It's okay to eat meat for many people right now, because we're at the top of the food chain. Will we still have this feeling when we're at the bottom. What argument do we give to the machines, for why they shouldn't eat us? The machine will point out that you've eaten animals who are lower on the food chain than you. Who are very inferior in intelligence. The best way to convince a machine not to use you as a food source is if you're a vegan. A vegan can argue that it's wrong without being hypocritical. Being a vegan just may save your life from a super AI who decides humans are a good source of energy. C2) We are the Super AI- According to Nick Bostrom there is a decent chance we are in a computer simulation. http://www.simulation-argument.com... Because of all of the fear concerning an AI that is unfriendly to humans or indifferent. Several plans have been developed to help create a friendly AI. One possible plan is to put a bunch of human level AI into a computer simulated environment and see which ones are the most selfless and friendly towards mankind. The most selfless AI's would be able to be let out of the box (simulated environment), to be given new tests or be allowed to become a super AI, while the rest are destroyed. It's a possibility we are experiencing such a test right now. If we don't become as compassionate as possible we risk being unplugged instead of ascending to higher levels. Conclusion- the benefits to becoming vegan are not being killed for food, ascending to a higher plane of existence and living in a technological paradise. The best option is eternal paradise, for becoming vegan. The worst thing about not being vegan, would be getting turned into food. Good luck to my opponent in his/her rebuttals. Thank you.	PRO	5
5	Sd98175c5-Aa48a4f99	THW become Vegetarians	Thanks for your last round. I will say my argumentsone last time then I wil say why I won and finish the debate. 1. You’ll ward off disease. Vegetarian diets are more healthful than the average American diet, particularly in preventing, treating or reversing heart disease and reducing the risk of cancer. A low-fat vegetarian diet is the single most effective way to stop the progression of coronary artery disease or prevent it entirely. Cardiovascular disease kills 1 million Americans annually and is the leading cause of death in the United States. But the mortality rate for cardiovascular disease is lower in vegetarians than in nonvegetarians, says Joel Fuhrman, MD, author of Eat to Live: The Revolutionary Formula for Fast and Sustained Weight Loss. A vegetarian diet is inherently healthful because vegetarians consume less animal fat and cholesterol (vegans consume no animal fat or cholesterol) and instead consume more fiber and more antioxidant-rich produce——another great reason to listen to Mom and eat your veggies! 2. You’ll keep your weight down. The standard American diet—high in saturated fats and processed foods and low in plant-based foods and complex carbohydrates——is making us fat and killing us slowly. According to the Centers for Disease Control and Prevention (CDC) and a division of the CDC, the National Center for Health Statistics, 64 percent of adults and 15 percent of children aged 6 to 19 are overweight and are at risk of weight-related ailments including heart disease, stroke and diabetes. A study conducted from 1986 to 1992 by Dean Ornish, MD, president and director of the Preventive Medicine Research Institute in Sausalito, California, found that overweight people who followed a low-fat, vegetarian diet lost an average of 24 pounds in the first year and kept off that weight 5 years later. They lost the weight without counting calories or carbs and without measuring portions or feeling hungry. 3. You’ll live longer. If you switch from the standard American diet to a vegetarian diet, you can add about 13 healthy years to your life, says Michael F. Roizen, MD, author of The RealAge Diet: Make Yourself Younger with What You Eat. ”People who consume saturated, four-legged fat have a shorter life span and more disability at the end of their lives. Animal products clog your arteries, zap your energy and slow down your immune system. Meat eaters also experience accelerated cognitive and sexual dysfunction at a younger age.” 4.You’ll build strong bones. When there isn’’t enough calcium in the bloodstream, our bodies will leach it from existing bone. The metabolic result is that our skeletons will become porous and lose strength over time. Most health care practitioners recommend that we increase our intake of calcium the way nature intended——through foods. Foods also supply other nutrients such as phosphorus, magnesium and vitamin D that are necessary for the body to absorb and use calcium. People who are mildly lactose-intolerant can often enjoy small amounts of dairy products such as yogurt, cheese and lactose-free milk. But if you avoid dairy altogether, you can still get a healthful dose of calcium from dry beans, tofu, soymilk and dark green vegetables such as broccoli, kale, collards and turnip greens. 5. You’ll ease the symptoms of menopause. Many foods contain nutrients beneficial to perimenopausal and menopausal women. Certain foods are rich in phytoestrogens, the plant-based chemical compounds that mimic the behavior of estrogen. Since phytoestrogens can increase and decrease estrogen and progesterone levels, maintaining a balance of them in your diet helps ensure a more comfortable passage through menopause. Soy is by far the most abundant natural source of phytoestrogens, but these compounds also can be found in hundreds of other foods such as apples, beets, cherries, dates, garlic, olives, plums, raspberries, squash and yams. Because menopause is also associated with weight gain and a slowed metabolism, a low-fat, high-fiber vegetarian diet can help ward off extra pounds. 6. You’ll have more energy. Good nutrition generates more usable energy——energy to keep pace with the kids, tackle that home improvement project or have better sex more often, Michael F. Roizen, MD, says in The RealAge Diet. Too much fat in your bloodstream means that arteries won’’t open properly and that your muscles won’’t get enough oxygen. The result? You feel zapped. Balanced vegetarian diets are naturally free of cholesterol-laden, artery-clogging animal products that physically slow us down and keep us hitting the snooze button morning after morning. And because whole grains, legumes, fruits and vegetables are so high in complex carbohydrates, they supply the body with plenty of energizing fuel. 7. You’ll help reduce pollution. Some people become vegetarians after realizing the devastation that the meat industry is having on the environment. According to the US Environmental Protection Agency (EPA), chemical and animal waste runoff from factory farms is responsible for more than 173,000 miles of polluted rivers and streams. Runoff from farmlands is one of the greatest threats to water quality today. Agricultural activities that cause pollution include confined animal facilities, plowing, pesticide spraying, irrigation, fertilizing and harvesting. 8. You’ll help reduce famine. About 70 percent of all grain produced in the United States is fed to animals raised for slaughter. The 7 billion livestock animals in the United States consume five times as much grain as is consumed directly by the American population. “If all the grain currently fed to livestock were consumed directly by people, the number of people who could be fed would be nearly 800 million,” says David Pimentel, professor of ecology at Cornell University. If the grain were exported, it would boost the US trade balance by $80 billion a year. 9. You’ll spare animals. Many vegetarians give up meat because of their concern for animals. Ten billion animals are slaughtered for human consumption each year. And, unlike the farms of yesteryear where animals roamed freely, today most animals are factory farmed: —crammed into cages where they can barely move and fed a diet tainted with pesticides and antibiotics. These animals spend their entire lives in crates or stalls so small that they can’’t even turn around. Farmed animals are not protected from cruelty under the law——in fact, the majority of state anticruelty laws specifically exempt farm animals from basic humane protection. 10. You’ll save money. Meat accounts for 10 percent of Americans’’ food spending. Eating vegetables, grains and fruits in place of the 200 pounds of beef, chicken and fish each nonvegetarian eats annually would cut individual food bills by an average of $4,000 a year. 11. Save the planet: Meat is not green. Consuming meat is actually one of the worst things that you can do for the Earth. It is wasteful and causes enormous amounts of pollution, and the meat industry is also one of the biggest causes of climate change. Adopting a vegan diet is more effective than switching to a “greener” car in the fight against climate change. I should win this debate because I made strong arguments saying that it is good for you and also it is healty. I rebutted all of Con's Points saying that you can still have protein without eating meat. Therefore, I hope everyone votes for Pro!!!	PRO	6
6	S7e9ebc8d-A794bc379	People should become vegan as a result of possible future advances in artificial intelligence.	"The chuckle continues as I see a man so haughty as Wylted deliver such a poor argument. Relying on me to not catch obvious flaws and trying to force a ridiculous idea into his rebuttal. Allow me to explain. I. Cross-Examination "" I've used citations from some of the world's leading experts on AI, and yet my opponent refuses to refute them. If experts working in these fields believe a super AI is inevitable in our lifetime, why does my opponent disagree?"" My apologies, I must've just failed to see how these sources supplement Pro's position. Let's start with the first one. http://www.smithsonianmag.com...... Here, Pro tries to support his case by showing that 'Super AI' has the potential to go rogue. However, I see no connection. Pro is trying to show that this intelligence will one day desire human meals, and will base said desire off of whether the entre'e is vegan or not. Here's the problem, a robot going off it's chain and revolting would in no way entail it being hungry for human nor care for the dietary habits of a human. I'm not denying we will ever see Super AI or that said AI will become a problem, I'm merely questioning how this happening would cause carnivorous robots. Onto the another source he uses, http://www.simulation-argument.com... This source suffers from the same problem as the rest of Wylted's argument. It is highly suggestive, not empirical. Merely explaining the possibility of a situation, is not proving said situation. Again, even if we are in a simulated environment, there is absolutely nothing showing that we are being observed/tested for moral capabilities. There lacks observable evidence showing this happening and therefore lacks a reason for fear not being vegan. ""What's the worst likely thing that can happen if you become vegan.(?) If an unfriendly super AI never develops, the worst thing that happens is that you have transitioned to a healthier diet "" #1. Is that a question? #2. There are many cons to becoming vegan. Such as: -Buying more expensive food - Lacking large amounts of complete protein (especially a problem for muscle builders who require substantial amounts) -Resisting the natural urge to eat meat -No longer being able to enjoy animal-based meals -Forced into Eating food that is unpalatable (Up to individual opinion) #3. This is irrelevant to the resolution. The resolution suggests the reason for going vegan is the benefit of not being the dinner of 'super AI' not for health reasons ""It's beyond common sense that veganism is more humane. So the worst thing that happens if my scenario is false is still a bunch of good stuff, but if I'm right and an unfriendly super AI develops, what you'll experience after this ""singularity"" is immortality. http://www.thatsreallypossible.com...; Again, completely irrelevant. My opponent being wrong and ""good"" stuff happening doesn't explain why Veganism should be put to practice as a result of Super AI. His source is once again speculation. Out of words again. Dammit Wylted. Good luck Pro"	CON	7
7	Sd98175c5-A49dbf118	THW become Vegetarians	Thank you for posting your argument. I have many reasons that can support by why vegetables are good. 1. You’ll ward off disease. Vegetarian diets are more healthful than the average American diet, particularly in preventing, treating or reversing heart disease and reducing the risk of cancer. A low-fat vegetarian diet is the single most effective way to stop the progression of coronary artery disease or prevent it entirely. Cardiovascular disease kills 1 million Americans annually and is the leading cause of death in the United States. But the mortality rate for cardiovascular disease is lower in vegetarians than in nonvegetarians, says Joel Fuhrman, MD, author of Eat to Live: The Revolutionary Formula for Fast and Sustained Weight Loss. A vegetarian diet is inherently healthful because vegetarians consume less animal fat and cholesterol (vegans consume no animal fat or cholesterol) and instead consume more fiber and more antioxidant-rich produce——another great reason to listen to Mom and eat your veggies! 2. You’ll keep your weight down. The standard American diet—high in saturated fats and processed foods and low in plant-based foods and complex carbohydrates——is making us fat and killing us slowly. According to the Centers for Disease Control and Prevention (CDC) and a division of the CDC, the National Center for Health Statistics, 64 percent of adults and 15 percent of children aged 6 to 19 are overweight and are at risk of weight-related ailments including heart disease, stroke and diabetes. A study conducted from 1986 to 1992 by Dean Ornish, MD, president and director of the Preventive Medicine Research Institute in Sausalito, California, found that overweight people who followed a low-fat, vegetarian diet lost an average of 24 pounds in the first year and kept off that weight 5 years later. They lost the weight without counting calories or carbs and without measuring portions or feeling hungry. 3. You’ll live longer. If you switch from the standard American diet to a vegetarian diet, you can add about 13 healthy years to your life, says Michael F. Roizen, MD, author of The RealAge Diet: Make Yourself Younger with What You Eat. ”People who consume saturated, four-legged fat have a shorter life span and more disability at the end of their lives. Animal products clog your arteries, zap your energy and slow down your immune system. Meat eaters also experience accelerated cognitive and sexual dysfunction at a younger age.” 4.You’ll build strong bones. When there isn’’t enough calcium in the bloodstream, our bodies will leach it from existing bone. The metabolic result is that our skeletons will become porous and lose strength over time. Most health care practitioners recommend that we increase our intake of calcium the way nature intended——through foods. Foods also supply other nutrients such as phosphorus, magnesium and vitamin D that are necessary for the body to absorb and use calcium. People who are mildly lactose-intolerant can often enjoy small amounts of dairy products such as yogurt, cheese and lactose-free milk. But if you avoid dairy altogether, you can still get a healthful dose of calcium from dry beans, tofu, soymilk and dark green vegetables such as broccoli, kale, collards and turnip greens. 5. You’ll ease the symptoms of menopause. Many foods contain nutrients beneficial to perimenopausal and menopausal women. Certain foods are rich in phytoestrogens, the plant-based chemical compounds that mimic the behavior of estrogen. Since phytoestrogens can increase and decrease estrogen and progesterone levels, maintaining a balance of them in your diet helps ensure a more comfortable passage through menopause. Soy is by far the most abundant natural source of phytoestrogens, but these compounds also can be found in hundreds of other foods such as apples, beets, cherries, dates, garlic, olives, plums, raspberries, squash and yams. Because menopause is also associated with weight gain and a slowed metabolism, a low-fat, high-fiber vegetarian diet can help ward off extra pounds. 6. You’ll have more energy. Good nutrition generates more usable energy——energy to keep pace with the kids, tackle that home improvement project or have better sex more often, Michael F. Roizen, MD, says in The RealAge Diet. Too much fat in your bloodstream means that arteries won’’t open properly and that your muscles won’’t get enough oxygen. The result? You feel zapped. Balanced vegetarian diets are naturally free of cholesterol-laden, artery-clogging animal products that physically slow us down and keep us hitting the snooze button morning after morning. And because whole grains, legumes, fruits and vegetables are so high in complex carbohydrates, they supply the body with plenty of energizing fuel. 7. You’ll help reduce pollution. Some people become vegetarians after realizing the devastation that the meat industry is having on the environment. According to the US Environmental Protection Agency (EPA), chemical and animal waste runoff from factory farms is responsible for more than 173,000 miles of polluted rivers and streams. Runoff from farmlands is one of the greatest threats to water quality today. Agricultural activities that cause pollution include confined animal facilities, plowing, pesticide spraying, irrigation, fertilizing and harvesting. 8. You’ll help reduce famine. About 70 percent of all grain produced in the United States is fed to animals raised for slaughter. The 7 billion livestock animals in the United States consume five times as much grain as is consumed directly by the American population. “If all the grain currently fed to livestock were consumed directly by people, the number of people who could be fed would be nearly 800 million,” says David Pimentel, professor of ecology at Cornell University. If the grain were exported, it would boost the US trade balance by $80 billion a year. 9. You’ll spare animals. Many vegetarians give up meat because of their concern for animals. Ten billion animals are slaughtered for human consumption each year. And, unlike the farms of yesteryear where animals roamed freely, today most animals are factory farmed: —crammed into cages where they can barely move and fed a diet tainted with pesticides and antibiotics. These animals spend their entire lives in crates or stalls so small that they can’’t even turn around. Farmed animals are not protected from cruelty under the law——in fact, the majority of state anticruelty laws specifically exempt farm animals from basic humane protection. 10. You’ll save money. Meat accounts for 10 percent of Americans’’ food spending. Eating vegetables, grains and fruits in place of the 200 pounds of beef, chicken and fish each nonvegetarian eats annually would cut individual food bills by an average of $4,000 a year. 11. Save the planet: Meat is not green. Consuming meat is actually one of the worst things that you can do for the Earth. It is wasteful and causes enormous amounts of pollution, and the meat industry is also one of the biggest causes of climate change. Adopting a vegan diet is more effective than switching to a “greener” car in the fight against climate change. My rebuttal will be in the next round. Sources: http://kidshealth.org... http://www.peta.org... http://www.happycow.net... http://www.huffingtonpost.com... http://www.brown.edu... http://www.vegetariantimes.com... http://www.britishmeat.com...	PRO	8
8	S272dfd04-Aff01df74	Everyone should become a vegetarian	Well, even though it IS minimal, at least it's something. One of my friends' parents own a farm, and they always wait until the animals die. Yes, they have to wait a long time, but they feel that they should. You do have a point with some of the other sources of protein there, so I won't argue with that. There is, however, another point I'd like to bring up. You don't think we should eat animals such as chicken. But what about fish? They are animals who's life is cut short for our food, yet vegetarians are still willing to eat them. I don't really agree with it being called animal cruelty. They are killed quickly and painlessly, so it can't really be cruelty. Cruelty is when the animals are tortured and in pain, or not being fed. The animals are fed, because otherwise there wouldn't be enough meat on them.	CON	9
9	S7e9ebc8d-A6f6f78bf	People should become vegan as a result of possible future advances in artificial intelligence.	"I must say, this argument made be chuckle a bit. Wylted seems to have brought upon a battle with his Elo being his only weapon. It was a good effort, however no amount of Elo will make a false statement any more true. I. Cross-Examination Right off the bat there is a major issue with Pro's Contentions. In nearly every statement there is a word like 'possibility' or 'potentially' and even 'predict'. Generally in an argument, you need to support it with empirical evidence, not with highly suggestive statements. Granted, the resolution does state that this event is a 'possibility' it also implies that this possibility is big enough that humans 'should' become vegans. For example, it is highly unlikely, though possible, that plants will spontaneously evolve into an intelligent entity and will kill all of those who ate their ancestors. So why don't we prepare for that too? For that matter why not just prepare for every possible life-threatening event? Build our houses out of solid steel, completely switch to clean power, imprison everybody to prevent rape and murder. You see, there is a plethora of possible and sometimes likely bad events that us humans refuse to prepare for. We like our wood houses, easy energy, and freedom. We are not ready to throw this all away for a mere possibility. Much less an unlikely one like AI domination. Now on to the clean-up. ""A computer with a super AI could potentially see us as energy and consume us so they can grow more powerful and stronger."" Wouldn't an easier solution just be to not give these robots a mouth or human-based energy tanks? We made the robots, there is no need to give them things they don't absolutely require. Also why would a robot give itself a mouth when it is being given plenty of food already. If it was given a mouth why would humans be a source of energy and not the trillions of plants on this world? ""Who are very inferior in intelligence. The best way to convince a machine not to use you as a food source is if you're a vegan."" Think about what humans mostly eat. We eat cow, pig, chicken, lamb, clams, and sometimes deer. Notice something about all of these animals? They are all herbivores. We could simply tell the robots that we only eat mostly herbivores, with a few exceptions. So you should only eat herbivores too. Also, how is a cow being a herbivore convincing us not to eat it? That lacks logical sense. ""A vegan can argue that it's wrong without being hypocritical."" There is little difference between eating plants and animals. Both are life forms and both are being consumed by eating. A robot would not discriminate life forms. Vegans are also guilty of eating life and cannot say that robots shouldn't do the same. Due to the absurdly low word count, I have to close up here. However Pro's second contention can be simply argued that us being in a simulated environment is unlikely at best and is unsupported in any way by my opponent. II. Closing remarks Pro uses possibility too much. Out of words. Good luck."	CON	10
