	id	conclusion	premises	stance	rank
0	S9db43fbd-A87496c6d	make all museums free of charge	Museums preserve and display our heritage and therefore should be accessible to all of the public free of charge	PRO	1
1	S9db43fbd-A307f9dea	make all museums free of charge	Free museums encourage attendance	PRO	2
2	S9db43fbd-Af4ffbd8c	Free museums encourage attendance	In the UK, Labour government policy resulted in some of the leading national museums ending admissions charges. Their policy was in response to evidence from the 1980s that suggested museums that started charging visitors ‘saw their numbers plummet on average by a third – and never fully recover’ (Barrie, 2001). Labour’s policy shift had the effect of increasing visitor numbers greatly, proving that free entry is beneficial in increasing public exposure to culture. This can be shown by the UK having the highest number of visitors to art museums of any country based upon The Art Newspaper’s figures for top 100 visited galleries in 2010.(The Art Newspaper, 2011) Other countries should follow this example in order to draw more people into their own national museums.	PRO	3
3	S9db43fbd-Aaec1a397	Free museums encourage attendance	Entry figures did increase when the UK scrapped admissions charges at some museums, but studies have found that this was not because more people actually visited the museums. Instead similar numbers of people as before chose to make more individual visits to the same museums, pushing up admissions numbers (Martin, 2003). In this way subsidising free admissions acts as a giveaway of public money to the privileged middle classes, who would in any case pay to attend the same institutions.	CON	4
4	S9db43fbd-Adbe701a7	make all museums free of charge	Museums are a crucial source of inspiration and education	PRO	5
5	S1c5a0821-A17c5fe48	Museums Should Be Free	Museums have a valuable role in preserving and transmitting a nation’s history and heritage to new g…	PRO	6
6	S1c5a0821-A81637167	Museums Should Be Free	In the UK, Labour government policy resulted in some of the leading national museums ending admissio…	PRO	7
7	S1c5a0821-A1f357b6f	Museums Should Be Free	Museums preserve and display our artistic, social, scientific and political heritage. Everyone shou…	PRO	8
8	S1c5a0821-Ae26a28ca	Museums Should Be Free	Museums are a crucial source of inspiration and education for our increasingly important creative in…	PRO	9
9	S1c5a0821-A5475446b	Museums Should Be Free	Television is not an adequate substitute for widely accessible museums. At a museum a visitor can c…	PRO	10
10	S9db43fbd-Afabe3ca8	Museums preserve and display our heritage and therefore should be accessible to all of the public free of charge	Museums preserve and display our artistic, social, scientific and political heritage. Everyone should have access to such important cultural resources as part of active citizenship, and because of the educational opportunities they offer to people of every age. Glenn Lowry, director of the Museum of Modern Art, claims ‘it’s almost a moral duty that museums should be free’ (Smith, 2006). If museums are not funded sufficiently by the government, they will be forced to charge for entry, and this will inevitably deter many potential visitors, especially the poor and those whose educational and cultural opportunities have already been limited. Visitors to the Victoria and Albert Museum in London declined by 13% after it started charging for admission. Free access is essential to provide freedom of cultural and educational opportunity (Garrett, 2001).	PRO	11
11	S9db43fbd-A36d8c45a	Museums preserve and display our heritage and therefore should be accessible to all of the public free of charge	Not everyone wishes to visit museums, which are essentially a form of entertainment for the middle classes and tourists. The majority of adults never visit a museum, preferring instead leisure pursuits such as football, the cinema or clubbing. As Philippe de Montebello has wondered, if the public can pay for other events, ‘what is it about art that shouldn’t be paid for?’ (Smith, 2006) Why should they have to pay for their chosen entertainment while subsidising the generally wealthier middle class through their taxes? Tourists pay no taxes here and so gain a free ride at the expense of domestic taxpayers. The state provides educational opportunities for all through free schooling, which often includes free museum trips. If free museum entry were considered a cultural right, shouldn’t the state make theatre tickets free as well?	CON	12
12	S22d6f2fd-A9ba2eb1d	The poor were not encouraged to visit museums after they were made free	When Labour scrapped the admission charges, the idea was to stop museums being middle class enclaves. They wanted poorer families to attend museums more frequently, and they believed it was best to scrap the admission charge. However, statistics have shown that whilst there has been an 87% increase in attendees, there has only been a 2% increase in the proportion of attendees who were from the poorest half of society. [[Richard Morrison, The Times, 22 September 2009]] This means that it is in fact the middle classes, who can afford the fees, who have benefitted from free admission. Surely, to stop these people easily capitalizing on the museums generosity, a more aggressive sales route to get people to pay the voluntary donation would be well placed.	PRO	13
13	S22d6f2fd-A6a32187f	Education should be free	Surely the greatest thing about Britain is it’s meritocratic standpoint on education. Everyone should enjoy education, regardless of their wealth. Museums and galleries are a source of knowledge for people who cannot afford books and the like. Even schools, whilst they may be free, the revision guides that aid people in their studies cost money. If we take away our free museums and start harassing people to make a ‘voluntary’ donation it will be yet another blow to Britain’s meritocracy.	PRO	14
14	S9db43fbd-A5afab673	Museums are a crucial source of inspiration and education	Museums are a crucial source of inspiration and education for our increasingly important creative industries (e.g. art, design, fashion, and architecture). As the Secretary of the National Union of Teachers described, ‘free access means that every child can benefit from the treasure chest…regardless of the depth of the parental pocket’ (Russell & Taylor, 2007). Free access is an investment in the future of both the education and creative sectors of the economy and therefore has long-term benefits in securing prosperity for the whole of society. Similarly, tourism is an important sector of our economy and many visitors will be deterred from visiting our country if they think it will be very expensive to visit its great museums and galleries. Tourists do contribute hugely to government revenues through the indirect taxes they pay and the jobs they generate, tourism is a £115bn industry,(BBC News, 2010) so free museum access to support the tourism industry is a sensible investment.	PRO	15
15	S9db43fbd-Ac9dcbdac	make all museums free of charge	State funding should be used elsewhere	CON	16
16	S22d6f2fd-A32d29bfe	Education should be free	Education is not free in the real world, face it. Even if state schools provide no fee for the parents and students, someone has the pay for the staff, for the equipment, for the maintenance, there are countless costs. Nothing in life is completely free! Everyone knows that. Besides, museums are much more than an educative visit. They provide an interactive experience as well, just look at modern museums such as the Science Museum in London, which everyone thoroughly enjoys. I would also like to point out that the opposition has failed to detect the difference between 'encourage' and 'harass'. Encourage does not suggest a violent or forced nature.	CON	17
17	S9db43fbd-A36d10511	make all museums free of charge	Museum charges can be offset by government funding	PRO	18
18	S1c5a0821-A1a86a7f	In the UK, Labour government policy resulted in some of the leading national museums ending admissio…	In the UK, Labour government policy resulted in some of the leading national museums ending admissions charges. This has had the effect of increasing visitor numbers greatly, proving that free entry is beneficial in increasing public exposure to culture. Other countries should follow this example in order to draw more people into their own national museums.	PRO	19
19	S9db43fbd-A4800b8c5	make all museums free of charge	Television is an adequate substitute for museum trips	CON	20
20	S9db43fbd-A9ea86bd6	make all museums free of charge	If state-funded, there is little incentive to increase numbers of visitors	CON	21
21	S9db43fbd-Aecb855a8	Museums are a crucial source of inspiration and education	Such potential and economic benefits are dubious and rely upon access to collections that are excellent in their content and in the way in which they are conserved and displayed. If museums are to be funded entirely out of public money, the pressure on any government’s budget from the demands of hospitals, schools, pensions, etc. will inevitably mean that museums will come a poor second, resulting in under-funding and poorer museums at the end of the process. This will not help our creative industries or tourism. It is excellence rather than the cost of visiting attractions which attracts tourists in any case; acquisition budgets have fallen in both London and Edinburgh over the last few years, our national galleries continually outbid by foreign rivals as they seek to keep their collections contemporary (Hunt, 2011). 	CON	22
22	S1c5a0821-Aafc2b250	Museums are a crucial source of inspiration and education for our increasingly important creative in…	Museums are a crucial source of inspiration and education for our increasingly important creative industries (e.g. art, design, fashion, and architecture). Free access is an investment in the future of this sector of the economy and therefore has long-term benefits in securing prosperity for the whole of society. Similarly, tourism is an important sector of our economy and many visitors will be deterred from visiting our country if they think it will be very expensive to visit its great museums and galleries. Tourists do contribute hugely to government revenues through the indirect taxes they pay and the jobs they generate, so free museum access to support the tourism industry is a sensible investment.	PRO	23
23	S1c5a0821-A45c7b0ea	Museums Should Be Free	Education is not just in schools, parents also have an important role in broadening their children’s…	PRO	24
24	S1c5a0821-A75e26c31	In the UK, Labour government policy resulted in some of the leading national museums ending admissio…	Entry figures did increase when the UK scrapped admissions charges at some museums, but studies have found that this was not because more people actually visited the museums. Instead similar numbers of people as before chose to make more individual visits to the same museums, pushing up admissions numbers. In this way subsidising free admissions acts as a giveaway of public money to the privileged middle classes, who would in any case pay to attend the same institutions.	CON	25
25	S1c5a0821-Ad81baf4e	Museums preserve and display our artistic, social, scientific and political heritage. Everyone shou…	Not everyone wishes to visit museums, which are essentially a form of entertainment for the middle classes and tourists. The majority of adults never visit a museum, preferring instead leisure pursuits such as football, the cinema or clubbing. Why should they have to pay for their chosen entertainment while subsidising the generally wealthier middle class through their taxes? Tourists pay no taxes here and so gain a free ride at the expense of domestic taxpayers. The state provides educational opportunities for all through free schooling, which often includes free museum trips. If free museum entry were considered a cultural right, shouldn’t the state make theatre tickets free as well?	CON	26
26	S1c5a0821-Af219dd8e	Museums preserve and display our artistic, social, scientific and political heritage. Everyone shou…	Museums preserve and display our artistic, social, scientific and political heritage. Everyone should have access to such important cultural resources as part of active citizenship, and because of the educational opportunities they offer to people of every age. If museums are not funded sufficiently by the government, they will be forced to charge for entry, and this will inevitably deter many potential visitors, especially the poor and those whose educational and cultural opportunities have already been limited. Visitors to the Victoria and Albert Museum in London declined by 15% after it started charging for admission. Free access is essential to provide freedom of cultural and educational opportunity.	PRO	27
27	S1c5a0821-A13c726ed	Museums are a crucial source of inspiration and education for our increasingly important creative in…	Such potential economic benefits are dubious and rely upon access to collections that are excellent in their content and in the way in which they are conserved and displayed. If museums are to be funded entirely out of public money, the pressure on any government’s budget from the demands of hospitals, schools, pensions, etc. will inevitably mean that museums will come a poor second, resulting in under-funding and poorer museums at the end of the process. This will not help our creative industries or tourism. It is excellence rather than the cost of visiting attractions which attracts tourists in any case.	CON	28
28	S1c5a0821-A1c8eafb	Museums have a valuable role in preserving and transmitting a nation’s history and heritage to new g…	If museums are entirely funded by the state, they will have little incentive to increase visitor numbers and to make their collections exciting and accessible for all. The need to attract paying customers concentrates the minds of museum and gallery directors upon the needs of the public and produces imaginative and popular exhibitions, as well as adding value through guided tours, lectures and tie-ins with television programmes. All of this ensures that more people, not less visit museums. In addition, if museums were made entirely reliant upon public funding, it is likely that money would be channelled to those institutions the government felt were most important, forcing smaller, local or more specialist museums to close. Nazi Germany also points to the dangers of allowing politicians control over interpretations of national identity and presentations of other cultures.	CON	29
29	S1c5a0821-Abcf126a3	Museums have a valuable role in preserving and transmitting a nation’s history and heritage to new g…	Museums have a valuable role in preserving and transmitting a nation’s history and heritage to new generations. Free access will encourage more people to find out about their country and help to promote feelings of national unity and identity, while promoting greater understanding and acceptance of foreign cultures.	PRO	30
30	S9eecda22-Ac9ec3636	return cultural property residing in museums to its place of origin	Many artefacts resting in western museums were acquired illegally. Western states have a duty to retain them.	PRO	31
